
line,dateIni,dateEnd,label,nameTo,nameFrom,parada,secuencia,sentido,distancia,descparada,descpostal,posX,posY
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,717,27,1,7840,Cartagena                                         ,"Cartagena, 106                                         ",442979.03125,4476976.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,715,28,1,8202,Cartagena-López de Hoyos                          ,"Cartagena, 140                                         ",442819.0,4477301.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,745,29,1,8611,Auditorio Nacional                                ,"Suero de Quiñones, 13                                  ",442752.0,4477565.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,273,30,1,8818,Prosperidad                                       ,"López de Hoyos, 73.                                    ",442875.25,4477432.5
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,273,1,2,0,Prosperidad                                       ,"López de Hoyos, 73.                                    ",442875.25,4477432.5
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,716,2,2,169,Cartagena-López de Hoyos                          ,"Cartagena, 131                                         ",442796.0,4477297.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,718,3,2,536,Cartagena                                         ,Cartagena con Av. de América                           ,442966.5625,4476972.5
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,722,4,2,892,Cartagena-Béjar                                   ,"Cartagena, 67                                          ",443191.0,4476701.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,2307,5,2,1304,Plaza San Cayetano                                ,Pza. de San Cayetano con C/ Azcona                     ,443236.0,4476342.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,725,6,2,1564,Centro Cultural Buenavista                        ,"Av. de los Toreros, 5                                  ",443197.0,4476129.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,728,7,2,1952,Parque Eva Duarte                                 ,"José Ortega y Gasset, 87                               ",443180.28125,4475883.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,730,8,2,2359,Lista                                             ,"José Ortega y Gasset, 55                               ",442775.0,4475919.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,732,9,2,2805,Marqués de Salamanca                              ,"José Ortega y Gasset, 33                               ",442375.40625,4475947.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,733,10,2,3267,Ortega y Gasset-Claudio Coello                    ,"José Ortega y Gasset, 13                               ",441915.0,4475980.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,449,11,2,3437,Serrano-Ortega y Gasset                           ,Serrano frente al Nº 66.                               ,441815.0,4475872.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,451,12,2,3832,Metro Serrano                                     ,"Serrano, 19                                            ",441756.0,4475482.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,452,13,2,4174,Museo Arqueológico                                ,Serrano frente al Nº 18                                ,441709.0,4475143.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,161,14,2,4486,Puerta de Alcalá                                  ,"Pza. de la Independencia, 3                            ",441643.0,4474876.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,69,15,2,4891,Cibeles                                           ,Pza. de Cibeles con Pº Recoletos                       ,441274.0,4474780.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,5135,16,2,5144,Círculo de Bellas Artes                           ,"Alcalá, 45                                             ",441041.5625,4474707.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,5137,17,2,5433,Gran Vía-Pedro Zerolo                             ,"Gran Via, 16                                           ",440773.25,4474792.5
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,4094,18,2,5651,Gran Vía-Montera                                  ,"Gran Vía, 28                                           ",440558.4375,4474837.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,9,19,2,5858,Gran Vía-Callao                                   ,"Gran Vía, 36                                           ",440352.875,4474859.5
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,168,20,2,6182,Santo Domingo                                     ,"Gran Vía, 54                                           ",440081.28125,4474988.5
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,283,21,2,6498,Gran Vía-Plaza de España                          ,"Gran Via, 80                                           ",439838.625,4475192.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,1750,22,2,6696,Plaza de España                                   ,"Princesa, 4                                            ",439728.0,4475347.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,172,23,2,6847,Ventura Rodríguez                                 ,"Princesa, 16 frente al Nº 17 ( Ventura Rodríguez )     ",439657.0,4475481.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,734,24,2,7148,Princesa-Rey Francisco                            ,"Princesa, 32                                           ",439509.65625,4475743.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,736,25,2,7394,Argüelles                                         ,"Princesa frente al Nº 47, con C/ Alberto Aguilera.     ",439396.53125,4475958.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,738,26,2,7645,Altamirano                                        ,"Princesa, 72                                           ",439279.0,4476180.0
001,2026-07-13,2026-08-19 23:59:59,1,PLAZA DE CRISTO REY,PROSPERIDAD,4816,27,2,7846,Moncloa                                           ,Pza. Moncloa con C/ Fdo.Católico (Antes de Arcos)      ,439182.0,4476358.0
